Offspring bands,species,Mid-offspr,maleband,Male BD,femband,Female BD,Mid-parent,,,
10529,fortis,8.79,3430,8.6,5067,8.9,8.75,,,
14907.8,fortis,9.28,3527,11.8,2537,9.3,10.55,,,
4894.3,fortis,8.83,3533,10.8,1536,8.6,9.7,,,
5715.3,fortis,9.76,3533,10.8,2833,9.2,10,,,
5560,fortis,10.2,3569,9.7,4669,10,9.85,,,
15063.2,fortis,9.43,3569,9.7,5570,9.9,9.8,,,
14171,fortis,9.4,3569,9.7,5717,8.65,9.18,,,
10678,fortis,9.9,3589,9.7,4178,9.6,9.65,,,
6375.2,fortis,9.5,3590,9.8,2537,9.3,9.55,,,
14478,fortis,8.95,3590,9.8,3773,10,9.9,,,
13756.5,fortis,9.98,3597,12.7,2843,10.4,11.55,,,
15397.4,fortis,9.72,3597,12.7,5625,9.9,11.3,,,
13615.4,fortis,9.86,3612,11.4,2658,9.4,10.4,,,
10139,fortis,11.1,3612,11.4,4179,10.2,10.8,,,
4281,fortis,9.14,3641,11.4,1944,8.2,9.8,,,
2849.2,fortis,10.49,3642,10.3,1426,10.6,10.45,,,
4803,fortis,9.75,3665,10.4,1698,9.6,10,,,
8934.2,fortis,10.35,3806,11.1,2243,10.4,10.75,,,
4739,fortis,9.73,4030,8.8,4190,9.9,9.35,,,
5208.5,fortis,9.83,4043,11.5,3773,10,10.75,,,
8202.8,fortis,8.69,4053,9.75,1536,8.6,9.18,,,
5505.3,fortis,9.58,4057,8.9,2843,10.4,9.65,,,
12148,fortis,8.42,4057,8.9,8398,8.7,8.8,,,
4785,fortis,9.25,4092,10.9,4032,10.2,10.55,,,
8881.6,fortis,10.12,4092,10.9,4993,10.45,10.68,,,
5774.3,fortis,9.31,4157,10.6,2588,9.3,9.95,,,
5546.5,fortis,9.99,4229,8.6,2434,10.5,9.55,,,
15426.4,fortis,8.59,4229,8.6,5587,9.05,8.83,,,
5602,fortis,8.74,4235,10.4,3890,9,9.7,,,
10347,fortis,8.79,4325,9.8,4190,9.9,9.85,,,
14492,fortis,9.6,4349,9.6,5528,10,9.8,,,
4728.3,fortis,9.52,4361,9.4,2495,9.7,9.55,,,
9259.1,fortis,8.93,4661,9.85,4715,8.7,9.28,,,
15097.4,fortis,10.23,4677,10.2,4993,10.45,10.33,,,
15083.3,fortis,9.35,4721,9.9,4830,8.4,9.15,,,
14439,fortis,9.35,4810,9.2,5341,9.5,9.35,,,
15002.8,fortis,9.09,4859,8.7,4843,9.6,9.15,,,
13950,fortis,9.04,4862,9.8,10670,9.5,9.65,,,
10593,fortis,9.75,4876,10.55,5815,10.6,10.58,,,
14073,fortis,10.5,4876,10.55,10330,9.4,9.98,,,
13128,fortis,9.09,4899,9.7,5340,9.4,9.55,,,
16755,fortis,9.05,4899,9.7,5602,8.7,9.2,,,
15487.7,fortis,9.54,4899,9.7,5960,10.15,9.93,,,
13570,fortis,9.3,4899,9.7,8398,8.7,9.2,,,
15309.9,fortis,9.06,4899,9.7,10548,8.9,9.3,,,
14406,fortis,8.7,4908,9.05,5597,8.5,8.78,,,
13102,fortis,9.32,4936,9.05,4843,9.6,9.33,,,
13931,fortis,8.4,4936,9.05,5521,9.3,9.18,,,
15036.8,fortis,8.67,4936,9.05,10194,9.6,9.33,,,
18241,fortis,8.6,4936,9.05,14841,8.9,8.98,,,
13683,fortis,9.53,4946,10.3,5515,9.1,9.7,,,
15426.3,fortis,9.77,4946,10.3,5602,8.7,9.5,,,
16550.3,fortis,9.65,4946,10.3,5960,10.15,10.23,,,
13496.3,fortis,9.43,4959,10.05,2446,10,10.03,,,
15309.5,fortis,8.35,4968,7.5,13582,8.9,8.2,,,
15142,fortis,8.26,5002,6.4,13760,10,8.2,,,
13644,fortis,9.5,5026,9.8,10166,9.3,9.55,,,
15312.3,fortis,8.6,5026,9.8,13306,8.3,9.05,,,
17554.7,fortis,9.57,5026,9.8,15238,9.4,9.6,,,
13134,fortis,9.14,5049,9.3,5570,9.9,9.6,,,
14465.5,fortis,10.79,5060,10.3,5548,10,10.15,,,
15586.5,fortis,8.91,5060,10.3,5635,9.45,9.88,,,
15181.6,fortis,9.93,5110,12.37,5628,8.6,10.49,,,
17368,fortis,10.7,5110,12.37,5821,10.6,11.49,,,
17873,fortis,9.3,5110,12.37,15210,9.6,10.99,,,
13635,fortis,9.93,5275,9.6,5831,9.8,9.7,,,
15720.7,fortis,9.51,5330,9,5844,10.3,9.65,,,
14970.3,fortis,9.44,5330,9,13837,9.7,9.35,,,
15318.3,fortis,10.05,5335,9.6,5904,10.5,10.05,,,
15472,fortis,10.13,5370,10.9,14471,9.3,10.1,,,
15194,fortis,9.24,5504,9.8,2446,10,9.9,,,
15874,fortis,8.21,5505,9.8,13543,8.1,8.95,,,
